conselho ;conselheiro;setor;posicao
Inclusão da Pessoa com Deficiencia;Lídia Maria Tavares Martins;Poder Público;Titular
Inclusão da Pessoa com Deficiencia;Ingrid faria do Espírito santo Pessanha;Poder Público; Suplente
Inclusão da Pessoa com Deficiencia;Marilane Ferreira do Amaral Pessanha;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Merilane Lopes Barreto;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Naira Regina de Barros Cordeiro Peçanha;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Paula Barreto Muniz;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Maria José Mendonça Rosmaninho de Pinho;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Josilane Gomes Ribeiro Fernandes de Azevedo;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Alessandro Martins Guimarães;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Maurício Leonardo de Souza Lemos;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Angélica Pereira Barreto;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Geovana Gomes Neves;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Marcelo Alves Manhães;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Sérgio Bonifácio;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Márcia Christina de Souza Justiniano;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Regina Célia Carvalho de Azevedo;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Adriana Costa Mothé;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Gabrielly Monteiro Manhães;Sociedade Civil; Suplente
Inclusão da Pessoa com Deficiencia;Alcilea Lugath da Conceição;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Thamirys da Silva de Souza;Sociedade Civil; Suplente
