ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Antônio Carlos Ornellas Berriel;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Antônio Carlos Rodrigues Dos Santos;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Antônio Julião Pinheiro Neto;35,72142792;0,517701864;0,051699735;0,008091051;0,875714481
Aprígio Barcelos;6,096775055;0,19667016;0,101185098;0,000144656;0,77086556
Barreto Nunes Daflon;3,999999285;0,266666621;0,158104762;0,00035384;0,539621711
Beatriz Cruz Siqueira;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Beatriz Mateus Pereira;33,78787613;0,519813478;0,054505002;0,008592448;0,868721664
Benedito De Jesus Dos Santos Braga;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Benedito Waldyr Pohl;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Bernardo Berbert Molina;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Bianca Da Silva Firmino Ferreira;31,16101837;0,537258923;0,059931278;0,009962903;0,849271238
Brand Arenari;29,26851845;0,552236199;0,062562473;0,011694108;0,803986847
Bruna Machel Da Silva Moraes Azevedo;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Bruno Da Silva Lopes;2,181818008;0,198347092;0,236178115;0,000593878;0,611247659
Bruno Glória Silva;2,733332634;0,182222173;0,188034177;0,000238465;0,679167926
Bárbara De Oliveira Figueiredo;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Carina Da Silva Gomes;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Carla Aparecida Gomes De Azeredo;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Carlos Alberto Pessanha Dias;20,2142849;0,481292516;0,0760132;0,000490199;0,785944045
Carlos Frederico De Menezes Veiga;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Carlos Lima Alves;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Carlos Roberto Bastos Freitas;44,93948364;0,548042476;0,04266692;0,012490394;0,849305153
Carlos Roberto Dos Santos Faria;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Carlos Ronald Macabu Arêas;60,65945435;0,652252197;0,041726492;0,057976197;0,864341855
Carlos Vinícius Viana Vieira;24,53304672;0,438090116;0,060919058;0,018368069;0,818004072
Celeste Da Silva Gomes;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Christiane Mazzini Villar Ribeiro;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Christiane Monteiro Alves Tinoco Leite;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Cinara Souza De Oliveira Santos;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Cintia Dutra Da Silva Bensi;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Cinézio Sales Manhães Filho;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Cirabel Ribeiro Paes;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Claudia De Jesus Barreto De Carvalho;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Claudius Marcelo Arêas Alves;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Cledson Sampaio Bittencourt;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Cláudia Siqueira Alvarenga Ferreira;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Cláudio Freitas Artiles;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Cláudio Nogueira Andrade Filho;25,44166374;0,43121466;0,059625663;0,009482559;0,860707998
Cléber Glória Silva;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Clécia Maria Almeida;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Cristiane Cardoso De Oliveira Ressiguier;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Cristiane Dos Passos Da Silva;2,769230366;0,213017717;0,191458285;0,000888341;0,576747
Cristiane Gomes Monteiro;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Cássio Leandro Moreira Peixoto;25,44166374;0,43121466;0,059625663;0,009482559;0,860707998
César Siqueira De Souza;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Cíntia Ferrini Farias;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Dalicea Schuller Dos Santos;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Dalicéa Schueller Dos Santos;16,5357132;0,590561211;0,099560156;0,000959002;0,668294132
Daniela Vivas Gonçalves;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Daniella Torres De Almeida Pereira;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Danielle Da Cunha Lessa Quillici;34,92351532;0,529144168;0,055330507;0,039936151;0,841417372
David Barbosa Do Nascimento;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
Denise Cardoso Alves;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Denise Gonçalves Diniz;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Diego Suisso Da Hora;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
Diogo Sodré Figueiredo Ferreira;34,92351532;0,529144168;0,055330507;0,039936151;0,841417372
